adduser	3.118
apt	1.8.2.3
autoconf	2.69-11
automake	1:1.16.1-4
autotools-dev	20180224.1
base-files	10.3+deb10u13
base-passwd	3.5.46
bash	5.0-4
binutils	2.31.1-16
binutils-aarch64-linux-gnu	2.31.1-16
binutils-common:arm64	2.31.1-16
bsdutils	1:2.33.1-0.1
build-essential	12.6
bzip2	1.0.6-9.2~deb10u2
ca-certificates	20200601~deb10u2
coreutils	8.30-3
cpp	4:8.3.0-1
cpp-8	8.3.0-6
curl	7.64.0-4+deb10u7
dash	0.5.10.2-5
dblatex	0.3.10-2
dblatex-doc	0.3.10-2
dbus	1.12.28-0+deb10u1
debconf	1.5.71+deb10u1
debian-archive-keyring	2019.1+deb10u2
debianutils	4.8.6.1
dh-python	3.20190308
diffutils	1:3.7-3
dirmngr	2.2.12-1+deb10u2
distro-info-data	0.41+deb10u8
docbook-xml	4.5-8
docbook-xsl	1.79.1+dfsg-2
doxygen	1.8.13-10
dpkg	1.19.8
dpkg-dev	1.19.8
e2fsprogs	1.44.5-1+deb10u3
fakeroot	1.23-1
fdisk	2.33.1-0.1
file	1:5.35-4+deb10u2
findutils	4.6.0+git+20190209-2
fontconfig	2.13.1-2
fontconfig-config	2.13.1-2
fonts-dejavu-core	2.37-1
fonts-droid-fallback	1:6.0.1r16-1.1
fonts-gfs-baskerville	1.1-5
fonts-gfs-porson	1.1-6
fonts-lato	2.0-2
fonts-liberation	1:1.07.4-9
fonts-lmodern	2.004.5-6
fonts-noto-mono	20181227-1
fonts-texgyre	20180621-3
g++	4:8.3.0-1
g++-8	8.3.0-6
gcc	4:8.3.0-1
gcc-8	8.3.0-6
gcc-8-base:arm64	8.3.0-6
ghostscript	9.27~dfsg-2+deb10u9
gir1.2-glib-2.0:arm64	1.58.3-2
git	1:2.20.1-2+deb10u8
git-man	1:2.20.1-2+deb10u8
gnupg	2.2.12-1+deb10u2
gnupg-l10n	2.2.12-1+deb10u2
gnupg-utils	2.2.12-1+deb10u2
gpg	2.2.12-1+deb10u2
gpg-agent	2.2.12-1+deb10u2
gpg-wks-client	2.2.12-1+deb10u2
gpg-wks-server	2.2.12-1+deb10u2
gpgconf	2.2.12-1+deb10u2
gpgsm	2.2.12-1+deb10u2
gpgv	2.2.12-1+deb10u2
graphviz	2.40.1-6+deb10u1
grep	3.3-1
gsfonts	1:8.11+urwcyr1.0.7~pre44-4.4
gzip	1.9-3+deb10u1
hostname	3.21
icu-devtools	63.1-6+deb10u3
init-system-helpers	1.56+nmu1
iso-codes	4.2-1
javascript-common	11
krb5-locales	1.17-3+deb10u6
less	487-0.1+b1
libacl1:arm64	2.2.53-4
libalgorithm-c3-perl	0.10-1
libalgorithm-diff-perl	1.19.03-2
libalgorithm-diff-xs-perl	0.04-5+b1
libalgorithm-merge-perl	0.08-3
libapparmor1:arm64	2.13.2-10
libapt-inst2.0:arm64	1.8.2.3
libapt-pkg5.0:arm64	1.8.2.3
libasan5:arm64	8.3.0-6
libassuan0:arm64	2.5.2-1
libatomic1:arm64	8.3.0-6
libattr1:arm64	1:2.4.48-4
libaudit-common	1:2.8.4-3
libaudit1:arm64	1:2.8.4-3
libauthen-sasl-perl	2.1600-1
libavahi-client3:arm64	0.7-4+deb10u3
libavahi-common-data:arm64	0.7-4+deb10u3
libavahi-common3:arm64	0.7-4+deb10u3
libb-hooks-endofscope-perl	0.24-1
libb-hooks-op-check-perl	0.22-1+b1
libbinutils:arm64	2.31.1-16
libblkid1:arm64	2.33.1-0.1
libbrotli1:arm64	1.0.7-2+deb10u1
libbsd0:arm64	0.9.1-2+deb10u1
libbz2-1.0:arm64	1.0.6-9.2~deb10u2
libc-bin	2.28-10+deb10u2
libc-dev-bin	2.28-10+deb10u2
libc6:arm64	2.28-10+deb10u2
libc6-dev:arm64	2.28-10+deb10u2
libcairo2:arm64	1.16.0-4+deb10u1
libcap-dev:arm64	1:2.25-2
libcap-ng0:arm64	0.7.9-2
libcap2:arm64	1:2.25-2
libcc1-0:arm64	8.3.0-6
libcdt5	2.40.1-6+deb10u1
libcgraph6	2.40.1-6+deb10u1
libclang1-6.0:arm64	1:6.0.1-10
libclass-c3-perl	0.34-1
libclass-c3-xs-perl	0.14-1+b3
libclass-data-inheritable-perl	0.08-3
libclass-method-modifiers-perl	2.12-1
libclass-xsaccessor-perl	1.19-3+b2
libcom-err2:arm64	1.44.5-1+deb10u3
libcups2:arm64	2.2.10-6+deb10u9
libcupsfilters1:arm64	1.21.6-5+deb10u1
libcupsimage2:arm64	2.2.10-6+deb10u9
libcurl3-gnutls:arm64	7.64.0-4+deb10u7
